제품명,이미지 링크,가격(원),에너지 소비효율등급,소비전력(W),설치타입,도어 개수,전체 용량(L),냉장 용량(L),냉동 용량(L),제품 크기(mm),무게(kg),색상,도어 재질,냉각방식,스마트 진단,아이스메이커,제품 사용 설명서
LG SIGNATURE 상냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09066826/gallery/medium-interior01.jpg,,1등급,43.7,,,905,570,335,"912 X 1,784 X 929",228,샤이니 유니버스,스테인리스,,O 있음,O (이지) 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=NVyq4RZJZQjhLxSgEKNPg
[26년형·1대 단독 설치용] 오브제컬렉션 Fit & Max 냉장고 설치키트,https://www.lge.co.kr/kr/images/refrigerators/md10808826/gallery/medium01.jpg,"111,000원",,,페어설치키트,,,,,,0.428,,,,,,
[26년형 포함 2대 연결 설치용] 오브제컬렉션 Fit & Max 냉장고 설치키트,https://www.lge.co.kr/kr/images/refrigerators/md10808827/gallery/medium01.jpg,"111,000원",,,페어설치키트,,,,,,3,,,,,,
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10780843/gallery/medium-interior01.jpg,"4,835,000원",1등급,31.6,Fit & Max,4도어,635,382,253,"914 x 1,860 x 709",140,오브제컬렉션 베이지,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 아이스 트레이",https://gscs-b2c.lge.com/open/downloadFile?fileId=NYAphZ9a82JCSLvQ7MY4Zw
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10780840/gallery/medium-interior01.jpg,"4,995,000원",1등급,31.6,Fit & Max,4도어,635,382,253,"914 x 1,860 x 709",142,오브제컬렉션 베이지,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 아이스 트레이",
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10780841/gallery/medium-interior01.jpg,"5,217,000원",1등급,31.6,Fit & Max,4도어,635,382,253,"914 x 1,860 x 709",137,럭스 실버,스테인리스,멀티냉각방식,O 있음,"오토 아이스메이커, 아이스 트레이",https://gscs-b2c.lge.com/open/downloadFile?fileId=NYAphZ9a82JCSLvQ7MY4Zw
LG 디오스 AI 오브제컬렉션 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10635826/gallery/medium-interior01.jpg,"3,100,000원",1등급,43.7,프리스탠딩,4도어,870,503,367,"914 x 1,860 x 918",155,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
LG 디오스 오브제컬렉션 베이직 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10411849/gallery/medium-interior01.jpg,"3,164,000원",2등급,56.8,프리스탠딩,4도어,870,503,367,"914 x 1,860 x 918",138,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
LG 디오스 AI 오브제컬렉션 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10634840/gallery/medium-interior01.jpg,"3,520,000원",1등급,43.7,프리스탠딩,4도어,870,503,367,"914 x 1,860 x 918",155,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
LG 디오스 오브제컬렉션 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10411847/gallery/medium-interior01.jpg,"3,608,000원",1등급,43.7,프리스탠딩,4도어,870,503,367,"914 x 1,860 x 918",156,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
