product_code,resol_code,name,img_link,price,proficiency_level,power_consum(W),screen_size(cm),display_type,ref_rate(Hz),os_type,speaker_output(W),width(mm),height(mm),depth(mm),weight(kg),manual_link
TVT112,RES000,LG QNED TV (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10610864/gallery/medium01.jpg,,,0.5,217.0,LED,60.0,webOS 24,20.0,1928.0,1108.0,30.0,50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=UyaQIgJ9cexz0RkyELGZLA
TVT113,RES000,LG QNED AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10654889/gallery/medium-interior01.jpg,3790000.0,,0.5,217.0,LED,60.0,webOS 25,20.0,1927.0,1104.0,59.0,45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=g8KI7jEMZVuvRFYO8Cnhw
TVT114,RES000,LG QNED AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10654888/gallery/medium-interior01.jpg,3790000.0,,0.5,217.0,LED,60.0,webOS 25,20.0,1927.0,1104.0,59.0,45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=QO1ttVPKjRWGBsFuFJnw
TVT115,RES000,LG QNED AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10543873/gallery/medium-interior01.jpg,3990000.0,,0.5,217.0,LED,60.0,webOS 25,20.0,1928.0,1108.0,30.0,50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=gucmDPisdu6Pv9N0tRGsA
TVT116,RES000,LG QNED AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10654844/gallery/medium-interior01.jpg,3790000.0,,0.5,217.0,LED,60.0,webOS 25,20.0,1929.0,1108.0,51.0,45.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=whe7bdYnvBSbTsfCF9Crtg
TVT117,RES000,LG QNED evo AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10543851/gallery/medium-interior01.jpg,4990000.0,,0.5,217.0,mini LED,144.0,webOS 25,20.0,1928.0,1108.0,30.0,50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=y1bzEe8Ny48uCVV4peMSHg
TVT118,RES000,LG QNED evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10588832/gallery/medium-interior01.jpg,5090000.0,,0.5,217.0,mini LED,144.0,webOS 25,20.0,1928.0,1108.0,30.0,50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=p2KtUyccId0at0K0lS17Hw
TVT119,RES000,LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10237826/gallery/medium-interior01.jpg,,,0.5,217.0,LED,120.0,webOS 22,20.0,1927.0,1104.0,59.0,45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=ZB45NTMokxr2ATBzeWhQw
TVT120,RES000,LG 울트라 HD TV (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10402827/gallery/medium01.jpg,,,0.5,217.0,LED,120.0,webOS 23,20.0,1927.0,1104.0,59.0,45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=ApRRnxlpqZdhBYPSSZTw
TVT121,RES000,LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md09979829/gallery/medium-interior01.jpg,,,0.5,217.0,LED,120.0,webOS 23,20.0,1927.0,1104.0,59.0,45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=lDriVyrun8YxxwQTlBtgw
TVT122,RES000,LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10219835/gallery/medium-interior01.jpg,,,0.5,217.0,LED,120.0,webOS 23,20.0,1927.0,1104.0,59.0,45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=ME34w6A4EDdIdCyHtG4r1g
TVT123,RES000,LG 울트라 HD TV (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10219836/gallery/medium-interior01.jpg,,,0.5,217.0,LED,120.0,webOS 23,20.0,1927.0,1104.0,59.0,45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=ME34w6A4EDdIdCyHtG4r1g
TVT124,RES000,LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10366868/gallery/medium-interior01.jpg,,,0.5,217.0,LED,120.0,webOS 23,20.0,1927.0,1104.0,59.0,45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=ME34w6A4EDdIdCyHtG4r1g
TVT125,RES000,LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10314851/gallery/medium-interior01.jpg,3890000.0,,0.5,217.0,LED,60.0,webOS 24,20.0,1927.0,1104.0,59.0,45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=4Pu7mmY4BpwVICqjgvuoFA
TVT126,RES000,LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10530831/gallery/medium-interior01.jpg,,,0.5,217.0,LED,60.0,webOS 24,20.0,1927.0,1104.0,59.0,45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=mxgidTufNYA9hxnNWiBaQ
TVT127,RES000,LG QNED TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10367826/gallery/medium-interior01.jpg,7800000.0,,0.5,247.0,LED,120.0,webOS 24,40.0,2182.0,1258.0,110.0,61.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=Z300TVLfBcU1ircjUgqm9w
TVT128,RES000,LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10470830/gallery/medium-interior01.jpg,5090000.0,,0.5,247.0,LED,120.0,webOS 24,40.0,2182.0,1258.0,110.0,61.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=Z300TVLfBcU1ircjUgqm9w
TVT129,,갤러리 스탠드,https://www.lge.co.kr/kr/images/tvs/md09615828/gallery/medium-interior01.jpg,,,,,,,,,,,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=UjCH9WqkE7sVp25OvdCOw
TVT130,RES000,LG 올레드 evo (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10319920/gallery/medium-interior01.jpg,1390000.0,4.0,0.5,105.0,올레드,120.0,webOS 24,20.0,932.0,540.0,41.0,9.8,https://gscs-b2c.lge.com/open/downloadFile?fileId=iY03lpPcfjwwiOi9v2s3gA
TVT131,RES000,LG 올레드 evo AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10543850/gallery/medium-interior01.jpg,,3.0,0.5,105.0,올레드,144.0,webOS 25,20.0,932.0,540.0,41.0,9.8,https://gscs-b2c.lge.com/open/downloadFile?fileId=ypxBifeM9QqkDc2To1L0Q
TVT132,RES000,LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770852/gallery/medium-interior01.jpg,1990000.0,3.0,0.5,105.0,올레드,165.0,webOS 26,20.0,932.0,540.0,41.0,9.8,https://gscs-b2c.lge.com/open/downloadFile?fileId=0IPCbTJbxZ7KAwA1BLzlA
TVT133,RES000,LG 올레드 TV (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10715835/gallery/medium01.jpg,,4.0,0.5,120.0,올레드,120.0,webOS 24,20.0,1070.0,620.0,45.0,11.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=QsrVGTwSpCQJyxX1nSN8YA
TVT134,RES000,LG 올레드 TV (스탠드형) + LG 스탠바이미 2,https://www.lge.co.kr/kr/images/tvs/md10720845/gallery/medium01.jpg,,4.0,0.5,120.0,올레드,120.0,webOS 24,20.0,1070.0,620.0,45.0,11.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=BR3nqIXzkZe6F7DPU2FVWg
TVT135,RES000,LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10573835/gallery/medium-interior01.jpg,1490000.0,4.0,0.5,120.0,올레드,120.0,webOS 25,20.0,1070.0,620.0,45.0,11.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=QNsqqALrSSiafSb4Y5t0g
TVT136,RES000,LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10784835/gallery/medium-interior01.jpg,1990000.0,3.0,0.5,120.0,올레드,144.0,webOS 26,20.0,1070.0,620.0,45.0,11.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=EK9NhYxPKjVtSRzwQeJnUg
TVT137,RES000,LG 올레드 evo (스탠드형),https://www.lge.co.kr/kr/images/tvs/md09965829/gallery/medium-interior01.jpg,1890000.0,4.0,0.5,120.0,올레드,120.0,webOS 23,20.0,1071.0,618.0,46.0,14.9,https://gscs-b2c.lge.com/open/downloadFile?fileId=Zm3T57jrMBhFrPcRn0V8g
TVT138,RES000,LG 올레드 evo (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10319913/gallery/medium-interior01.jpg,1990000.0,4.0,0.5,120.0,올레드,120.0,webOS 24,20.0,1071.0,620.0,46.0,14.9,https://gscs-b2c.lge.com/open/downloadFile?fileId=4bPWnGp0VcVeHN2zjw7wVg
TVT139,RES000,LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10543847/gallery/medium-interior01.jpg,,4.0,0.5,120.0,올레드,144.0,webOS 25,20.0,1071.0,618.0,46.0,14.9,https://gscs-b2c.lge.com/open/downloadFile?fileId=fGB93Eqh4zQvDMnYzzEQ
TVT140,RES000,LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770850/gallery/medium-interior01.jpg,2389000.0,3.0,0.5,120.0,올레드,165.0,webOS 26,40.0,1071.0,620.0,46.0,14.9,https://gscs-b2c.lge.com/open/downloadFile?fileId=MNFbhlHzd7a9aZxO5ed8BA
TVT141,RES000,LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10579833/gallery/medium-interior01.jpg,2290000.0,4.0,0.5,138.0,올레드,120.0,webOS 25,20.0,1228.0,708.0,45.0,14.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=H00Tl9VbuXyuJnCNbyJLww
TVT142,RES000,LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10579833/gallery/medium-interior01.jpg,,4.0,0.5,138.0,올레드,120.0,webOS 25,20.0,1228.0,708.0,45.0,14.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=YTp9r2C4sfzAj6FKVCixg
TVT143,RES000,LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10579833/gallery/medium-interior01.jpg,1890000.0,4.0,0.5,138.0,올레드,120.0,webOS 25,20.0,1228.0,708.0,45.0,14.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=Mz3eG98m5Y7N8AE5rCGyw
TVT144,RES000,LG 올레드 AI (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10715827/gallery/medium01.jpg,,4.0,0.5,138.0,올레드,120.0,webOS 25,20.0,1228.0,708.0,45.0,14.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=Mz3eG98m5Y7N8AE5rCGyw
TVT145,RES000,LG 올레드 AI (스탠드형) + LG 스탠바이미 2,https://www.lge.co.kr/kr/images/tvs/md10720843/gallery/medium01.jpg,3180000.0,4.0,0.5,138.0,올레드,120.0,webOS 25,20.0,1228.0,708.0,45.0,14.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=BR3nqIXzkZe6F7DPU2FVWg
TVT146,RES000,LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10784832/gallery/medium-interior01.jpg,2090000.0,3.0,0.5,138.0,올레드,144.0,webOS 26,20.0,1228.0,708.0,45.0,14.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=RK2y7F5ugYMykZcidS1r6Q
TVT147,RES000,LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10787832/gallery/medium-interior01.jpg,1920000.0,3.0,0.5,138.0,올레드,120.0,webOS 26,20.0,1228.0,708.0,45.0,14.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=fYmaidy0PkGFypW5gdrUQ
TVT148,RES000,LG 올레드 evo (스탠드형),https://www.lge.co.kr/kr/images/tvs/md09955837/gallery/medium-interior02.jpg,,4.0,0.5,138.0,올레드,120.0,webOS 23,40.0,1222.0,703.0,45.0,14.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=hFFheNJ8egtzZp78f3PTA
