product_code,name,img_link,price,proficiency_level,power_consum(W),install_type,door_cnt,total_cap(L),refrige_cap(L),freeze_cap(L),width(mm),height(mm),depth(mm),weight(kg),color,door_type,cool_type,smart_diag,ice_maker,manual_link
REF156,LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (노크온) + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642831/gallery/medium01.jpg,8381000,2,38.0,Fit & Max,4,601,378,223,914,1860,698,151,오브제컬렉션 토프 / 아몬드,글라스,멀티냉각방식,1,1,
REF157,LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10574842/gallery/medium01.jpg,8714000,2,38.0,Fit & Max,4,601,378,223,914,1860,698,143,오브제컬렉션 실버 / 실버,스테인리스,멀티냉각방식,1,1,
REF158,LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (노크온) + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10574841/gallery/medium01.jpg,8991000,2,38.0,Fit & Max,4,601,378,223,914,1860,698,148,오브제컬렉션 실버 / 실버,스톤 (스테인리스),멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
REF159,LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642841/gallery/medium01.jpg,7659000,2,38.0,Fit & Max,4,613,384,229,914,1860,698,143,오브제컬렉션 아몬드 / 토프,글라스,멀티냉각방식,1,1,
REF160,LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642838/gallery/medium01.jpg,7659000,2,38.0,Fit & Max,4,613,384,229,914,1860,698,144,오브제컬렉션 아몬드 / 토프,글라스,멀티냉각방식,1,1,
REF161,LG 디오스 오브제컬렉션 냉장고 Fit & Max (노크온) + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642836/gallery/medium01.jpg,8048000,2,38.0,Fit & Max,4,613,384,229,914,1860,698,151,오브제컬렉션 아몬드 / 토프,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
REF162,LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642839/gallery/medium01.jpg,7659000,2,38.0,Fit & Max,4,613,384,229,914,1860,698,143,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
REF163,LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡(본체),https://www.lge.co.kr/kr/images/refrigerators/md10574845/gallery/medium01.jpg,7480000,2,38.0,Fit & Max,4,613,384,229,914,1860,698,144,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
REF164,LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10600855/gallery/medium01.jpg,7659000,2,38.0,Fit & Max,4,613,384,229,914,1860,698,144,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
REF165,LG 디오스 오브제컬렉션 냉장고 Fit & Max (노크온) + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10600854/gallery/medium01.jpg,8048000,2,38.0,Fit & Max,4,613,384,229,914,1860,698,151,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
REF166,LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642840/gallery/medium01.jpg,7659000,2,38.0,Fit & Max,4,613,384,229,914,1860,698,143,오브제컬렉션 토프 / 아몬드,글라스,멀티냉각방식,1,1,
REF167,LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642837/gallery/medium01.jpg,7659000,2,38.0,Fit & Max,4,613,384,229,914,1860,698,144,오브제컬렉션 토프 / 아몬드,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
REF168,LG 디오스 오브제컬렉션 냉장고 Fit & Max (노크온) + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642835/gallery/medium01.jpg,8048000,2,38.0,Fit & Max,4,613,384,229,914,1860,698,151,오브제컬렉션 토프 / 아몬드,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
REF169,LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10587832/gallery/medium01.jpg,5900000,2,32.9,Fit & Max,4,504,300,204,835,1860,685,136,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=3qqiH6grIMMQpHIIwB4crw
REF170,LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10574848/gallery/medium01.jpg,5300000,2,32.9,Fit & Max,4,504,300,204,835,1860,685,133,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=3qqiH6grIMMQpHIIwB4crw
REF171,LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642843/gallery/medium01.jpg,7382000,2,38.0,Fit & Max,4,601,378,223,914,1860,698,146,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
REF172,LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (노크온) + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642842/gallery/medium01.jpg,7770000,2,38.0,Fit & Max,4,601,378,223,914,1860,698,147,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,
REF173,LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642846/gallery/medium01.jpg,7049000,2,38.0,Fit & Max,4,613,384,229,914,1860,698,143,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
REF174,LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642845/gallery/medium01.jpg,7049000,2,38.0,Fit & Max,4,613,384,229,914,1860,698,144,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
REF175,LG 디오스 오브제컬렉션 냉장고 Fit & Max (노크온) + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642844/gallery/medium01.jpg,7437000,2,38.0,Fit & Max,4,613,384,229,914,1860,698,151,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
REF176,LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642847/gallery/medium01.jpg,7049000,2,38.0,Fit & Max,4,613,384,229,914,1860,698,143,오브제컬렉션 토프 / 아몬드,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
REF177,LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10574846/gallery/medium01.jpg,6300000,2,32.9,Fit & Max,4,504,300,204,835,1860,685,136,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=3qqiH6grIMMQpHIIwB4crw
REF178,LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10574847/gallery/medium01.jpg,6200000,2,32.9,Fit & Max,4,504,300,204,835,1860,685,136,오브제컬렉션 토프 / 아몬드,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=3qqiH6grIMMQpHIIwB4crw
REF179,"LG 디오스 AI 오브제컬렉션 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10559867/gallery/medium-interior01.jpg,2720000,3,52.5,프리스탠딩,2,652,413,239,913,1790,735,117,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,
REF180,"LG 디오스 AI 오브제컬렉션 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10559868/gallery/medium-interior01.jpg,2150000,3,52.5,프리스탠딩,2,652,413,239,913,1790,735,113,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,1,1,
