product_code,name,img_link,price,proficiency_level,power_consum(W),washing_cap(kg),dryng_cap(kg),width(mm),height(mm),depth(mm),weight(kg),color,door_type,control_type,water_temp,spin_op,manual_link
WMT126,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09889843/gallery/medium-interior01.jpg,900000,2,500,19,,632,1040,670,46,미드프리실버,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=wkmbwoiSfWQYhVl3wgIng
WMT127,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09745832/gallery/medium-interior01.jpg,800000,2,500,19,,632,1040,670,46,미드 블랙,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=nnP3EvRUPTVyw8bvyQRbJA
WMT128,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09745839/gallery/medium-interior01.jpg,800000,2,500,19,,632,1040,670,45,미드 블랙,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=O38E4buv8rWuSUtYtJYjVQ
WMT129,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09889844/gallery/medium-interior01.jpg,950000,2,500,19,,632,1040,670,46,미드 블랙,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=O38E4buv8rWuSUtYtJYjVQ
WMT130,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09889845/gallery/medium-interior01.jpg,,2,500,19,,632,1040,670,46,미드 블랙,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=O38E4buv8rWuSUtYtJYjVQ
WMT131,LG 통돌이 컴포트 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10762840/gallery/medium-interior01.jpg,1190000,2,500,19,,651,1060,680,48,오닉스 블랙,와이드 다이아몬드 글라스,다이얼+풀터치버튼 및 LED 디스플레이,,1,
WMT132,LG 통돌이 컴포트 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10582836/gallery/medium-interior01.jpg,1362000,2,500,21,,686,1092,721,57,에센스 그라파이트,와이드 다이아몬드 글라스,다이얼+풀터치버튼 및 LCD+LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=sbeI1F2NzdUJd54A4ONsdA
WMT133,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09745843/gallery/medium-interior01.jpg,1100000,2,500,21,,690,1070,730,57,미드 블랙,와이드 다이아몬드 글라스,풀터치버튼 및 LCD+LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=5gE333DaYsdulK19CvCMg
WMT134,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10364830/gallery/medium-interior01.jpg,1100000,2,500,21,,690,1070,730,57,미드 블랙,와이드 다이아몬드 글라스,풀터치버튼 및 LCD+LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=5gE333DaYsdulK19CvCMg
WMT135,LG 통돌이 컴포트 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10582836/gallery/medium-interior01.jpg,,2,500,22,,686,1092,721,57,플래티늄 블랙,와이드 다이아몬드 글라스,다이얼+풀터치버튼 및 LCD+LED 디스플레이,,1,
